Borough,Neighborhood,Latitude,Longitude
Queens,Astoria,40.76850859335492,-73.91565374304234
Queens,Woodside,40.74634908860222,-73.90184166838284
Queens,Jackson Heights,40.75198138007367,-73.88282109164365
Queens,Elmhurst,40.744048505122024,-73.88165622288388
Queens,Howard Beach,40.65422527738487,-73.8381376460028
Queens,Corona,40.74238175015667,-73.85682497345258
Queens,Forest Hills,40.72526378216503,-73.84447500788983
Queens,Kew Gardens,40.7051790354148,-73.82981905825703
Queens,Richmond Hill,40.69794731471763,-73.83183321446887
Queens,Flushing,40.76445419697846,-73.83177300329582
Queens,Long Island City,40.75021734610528,-73.93920223915505
Queens,Sunnyside,40.74017628351924,-73.92691617561577
Queens,East Elmhurst,40.76407323883091,-73.86704147658772
Queens,Maspeth,40.725427374093606,-73.89621713626859
Queens,Ridgewood,40.70832315613858,-73.90143517559589
Queens,Glendale,40.70276242967838,-73.87074167435605
Queens,Rego Park,40.72897409480735,-73.8578268690537
Queens,Woodhaven,40.68988687915789,-73.8581104655432
Queens,Ozone Park,40.680708468265415,-73.84320266173447
Queens,South Ozone Park,40.66854957767195,-73.80986478649041
Queens,College Point,40.784902749260205,-73.84304528896125
Queens,Whitestone,40.78129076602694,-73.81420216610863
Queens,Bayside,40.76604063281064,-73.7742736306867
Queens,Auburndale,40.76172954903262,-73.79176243728061
Queens,Little Neck,40.7708261928267,-73.7388977558074
Queens,Douglaston,40.76684609790763,-73.7424982072733
Queens,Glen Oaks,40.74944079974332,-73.71548118999145
Queens,Bellerose,40.72857318176675,-73.72012814826903
Queens,Kew Gardens Hills,40.722578244228046,-73.82087764933566
Queens,Fresh Meadows,40.7343944653313,-73.78271337003264
Queens,Briarwood,40.71093547252271,-73.81174822458634
Queens,Jamaica Center,40.70465736068717,-73.79690165888289
Queens,Oakland Gardens,40.74561857141855,-73.75494976234332
Queens,Queens Village,40.718893092167356,-73.73871484578424
Queens,Hollis,40.71124344191904,-73.75925009335594
Queens,South Jamaica,40.696911253789885,-73.7904261313554
Queens,St. Albans,40.69444538522359,-73.75867603727717
Queens,Rochdale,40.67521139591733,-73.77258787620906
Queens,Springfield Gardens,40.666230490368584,-73.76042092682287
Queens,Cambria Heights,40.692774639160845,-73.73526873708026
Queens,Rosedale,40.659816433428084,-73.73526079428278
Queens,Far Rockaway,40.603134432500894,-73.75497968043872
Queens,Broad Channel,40.60302658351238,-73.8200548911032
Queens,Breezy Point,40.55740128845452,-73.92551196994168
Queens,Steinway,40.775923015642896,-73.90228960391673
Queens,Beechhurst,40.79278140360048,-73.80436451720988
Queens,Bay Terrace,40.782842806245554,-73.7768022262158
Queens,Edgemere,40.595641807368494,-73.77613282391705
Queens,Arverne,40.58914394372971,-73.79199233136943
Queens,Rockaway Beach,40.582801696845586,-73.82236121088751
Queens,Neponsit,40.572036730217015,-73.85754672410827
Queens,Murray Hill,40.764126122614066,-73.81276269135866
Queens,Floral Park,40.741378421945434,-73.70884705889246
Queens,Holliswood,40.7209572076444,-73.76714166714729
Queens,Jamaica Estates,40.71680483014613,-73.7872269693666
Queens,Queensboro Hill,40.7445723092867,-73.82580915110559
Queens,Hillcrest,40.723824901829204,-73.79760300912672
Queens,Ravenswood,40.761704526054146,-73.93157506072878
Queens,Lindenwood,40.66391841925139,-73.84963782402441
Queens,Laurelton,40.66788389660247,-73.74025607989822
Queens,Lefrak City,40.736074570830795,-73.8625247141374
Queens,Belle Harbor,40.57615556543109,-73.8540175039252
Queens,Rockaway Park,40.58034295646131,-73.84153370226186
Queens,Somerville,40.59771061565768,-73.79664750844047
Queens,Brookville,40.66000322733613,-73.75175310731153
Queens,Bellaire,40.73301404027834,-73.73889198912481
Queens,North Corona,40.7540709990489,-73.85751790676447
Queens,Forest Hills Gardens,40.7146110815117,-73.8410221123401
Queens,Jamaica Hills,40.71145964370482,-73.79646462081593
Queens,Utopia,40.73350025429757,-73.79671678028349
Queens,Pomonok,40.73493618075478,-73.80486120040537
Queens,Astoria Heights,40.7703173929982,-73.89467996270574
Queens,Hunters Point,40.743414090073536,-73.95386782130745
Queens,Sunnyside Gardens,40.74565180608076,-73.91819286431682
Queens,Blissville,40.73725071694497,-73.93244235260178
Queens,Roxbury,40.56737588957032,-73.89213760232822
Queens,Middle Village,40.716414511158185,-73.88114319200604
Queens,Malba,40.79060155670148,-73.82667757138641
Queens,Hammels,40.58733774018741,-73.80553002968718
Queens,Bayswater,40.611321691283834,-73.76596781445627
Queens,Queensbridge,40.756091297094706,-73.94563070334091
